% Model:              poly_cp_WithResults.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 21 2021, 10:33
% Dimension:          3
% Nodes:              7402
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Color
0                         2.999999999999999E-8     8.400000000000043E-7     -6.119862808715825E-12
0                         3.0E-8                   6.000000000000019E-7     -4.258746910066416E-12
0                         0                        6.000000000000001E-7     -4.158710925090676E-12
0                         2.999999999999999E-8     9.000000000000049E-7     -6.5826180915882854E-12
0                         5.999999999999998E-9     8.40000000000001E-7      -6.022449977846171E-12
0                         5.999999999999998E-9     9.00000000000001E-7      -6.484464793010534E-12
0                         0                        8.4E-7                   -5.9984585212191786E-12
0                         1.1999999999999997E-8    8.400000000000019E-7     -6.046462832923257E-12
0                         1.1999999999999997E-8    9.00000000000002E-7      -6.508971019979833E-12
0                         1.7999999999999992E-8    8.40000000000003E-7      -6.0704970864504374E-12
0                         1.7999999999999992E-8    9.00000000000003E-7      -6.533498645399223E-12
0                         2.3999999999999993E-8    9.00000000000004E-7      -6.558047669268707E-12
0                         5.999999999999998E-9     7.800000000000009E-7     -5.5610689803778175E-12
0                         0                        7.799999999999999E-7     -5.537570895643036E-12
0                         1.1999999999999997E-8    7.80000000000002E-7      -5.584588463562691E-12
0                         5.999999999999998E-9     7.200000000000009E-7     -5.100321800605476E-12
0                         0                        7.200000000000001E-7     -5.077317087762906E-12
0                         0                        6.6E-7                   -4.617697097578785E-12
0                         0                        9.0E-7                   -6.459979964491331E-12
6.000000000000008E-7      6.0E-9                   0                        2.12623839017739E-12
5.400000000000015E-7      1.2000000000000002E-8    0                        1.9091445874053487E-12
6.000000000000017E-7      1.2E-8                   0                        2.099483356437002E-12
5.400000000000021E-7      1.8000000000000002E-8    0                        1.8852741893129906E-12
4.800000000000021E-7      1.8000000000000002E-8    0                        1.7041573794328354E-12
6.000000000000024E-7      1.8E-8                   0                        2.0727989287151218E-12
5.40000000000003E-7       2.4E-8                   0                        1.8614743972391384E-12
4.800000000000029E-7      2.4000000000000003E-8    0                        1.6831716169885059E-12
4.2000000000000265E-7     2.4000000000000003E-8    0                        1.5112767662598507E-12
6.000000000000033E-7      2.4E-8                   0                        2.0461851070117465E-12
5.400000000000038E-7      3.0000000000000004E-8    0                        1.8377452111837933E-12
4.800000000000037E-7      3.0000000000000004E-8    0                        1.6622564605626834E-12
4.200000000000035E-7      3.0000000000000004E-8    0                        1.4931756394635505E-12
3.6000000000000333E-7     3.0000000000000004E-8    0                        1.3305027478863944E-12
6.00000000000004E-7       3.0E-8                   0                        2.0196418913268788E-12
0                         6.0E-9                   5.400000000000004E-7     -3.69017484815754E-12
0                         0                        5.4E-7                   -3.6725966027298156E-12
0                         1.2E-8                   5.400000000000007E-7     -3.707794437103202E-12
0                         1.8E-8                   5.400000000000011E-7     -3.7254553695668E-12
0                         2.4E-8                   5.400000000000015E-7     -3.743157645548337E-12
0                         6.0E-9                   4.800000000000004E-7     -3.207736874543664E-12
0                         0                        4.800000000000001E-7     -3.1925048936474888E-12
0                         1.2E-8                   4.800000000000008E-7     -3.223010198957775E-12
0                         1.8E-8                   4.800000000000011E-7     -3.238324866889825E-12
0                         6.0E-9                   4.200000000000003E-7     -2.7313215142083224E-12
0                         0                        4.2E-7                   -2.718435797843697E-12
0                         1.2E-8                   4.2000000000000074E-7    -2.7442485740908846E-12
0                         6.0E-9                   3.6000000000000036E-7    -2.260928767151515E-12
0                         0                        3.5999999999999994E-7    -2.250389315318438E-12
5.3714149990995936E-8     0                        5.699299652593587E-7     -3.704187039939646E-12
5.3714149990995936E-8     0                        5.099299652593587E-7     -3.240618644422804E-12
1.0742829998199187E-7     0                        5.398599305187175E-7     -3.278641282835893E-12
1.0742829998199187E-7     0                        4.798599305187173E-7     -2.8376188141630687E-12
1.611424499729878E-7      0                        5.09789895778076E-7      -2.882073653779418E-12
1.611424499729878E-7      0                        4.4978989577807604E-7    -2.4635971119506116E-12
2.1485659996398374E-7     0                        4.797198610374348E-7     -2.5144841527702173E-12
2.1485659996398374E-7     0                        4.197198610374348E-7     -2.1185535377854307E-12
5.3714149990995936E-8     0                        4.499299652593587E-7     -2.783072862184496E-12
1.0742829998199187E-7     0                        4.198599305187174E-7     -2.402618958768778E-12
1.611424499729878E-7      0                        3.8978989577807604E-7    -2.0511431834003393E-12
5.3714149990995936E-8     0                        3.8992996525935866E-7    -2.3315496932247215E-12
1.0742829998199187E-7     0                        3.598599305187174E-7     -1.973641716653023E-12
5.3714149990995936E-8     0                        3.299299652593587E-7     -1.886049137543482E-12
2.6857074995497967E-7     0                        4.4964982629679347E-7    -2.1758727798082964E-12
0                         2.4E-8                   3.600000000000009E-7     -2.2989478862385383E-12
0                         3.0E-8                   3.6000000000000105E-7    -2.311724016914855E-12
0                         1.7999999999999996E-8    3.600000000000007E-7     -2.286223301052543E-12
0                         1.1999999999999998E-8    3.600000000000005E-7     -2.273550261356868E-12
0                         2.3999999999999997E-8    4.2000000000000106E-7    -2.7725084073727454E-12
0                         3.0E-8                   4.2000000000000127E-7    -2.7867156422491553E-12
0                         1.8E-8                   4.200000000000009E-7     -2.758352717986654E-12
0                         2.3999999999999997E-8    4.800000000000012E-7     -3.25391166047601E-12
0                         3.0E-8                   4.800000000000014E-7     -3.269549999552516E-12
0                         3.0E-8                   5.400000000000017E-7     -3.7602270888249365E-12
9.254646947934023E-8      0                        3.0717160527768616E-7    -1.6315205151183839E-12
1.4626061947033615E-7     0                        3.3710157053704483E-7    -1.70482128673853E-12
1.9997476946133207E-7     0                        3.6703153579640355E-7    -1.768030945996451E-12
2.53688919452328E-7       0                        3.9696150105576226E-7    -1.8211494928921467E-12
1.313787889676845E-7      0                        2.844132452960136E-7     -1.3643434651534353E-12
1.8509293895868045E-7     0                        3.1434321055537234E-7    -1.4233524292841853E-12
2.388070889496764E-7      0                        3.44273175814731E-7      -1.472270281052711E-12
1.7021110845602878E-7     0                        2.616548853143411E-7     -1.0845179876486352E-12
2.2392525844702473E-7     0                        2.915848505736998E-7     -1.1292351442899902E-12
2.090434279443731E-7      0                        2.388965253326686E-7     -7.920440826039841E-13
2.598786324960454E-7      0                        2.450425686257146E-7     -6.815313672984752E-13
3.107138370477177E-7      0                        2.5118861191876055E-7    -5.812620763518663E-13
3.6154904159939E-7        0                        2.573346552118065E-7     -4.912362097641576E-13
4.123842461510624E-7      0                        2.634806985048525E-7     -4.114537675353487E-13
2.747604629986971E-7      0                        2.977308938667458E-7     -1.0229466546742782E-12
3.2559566755036935E-7     0                        3.0387693715979176E-7    -9.26901589417466E-13
3.764308721020417E-7      0                        3.100229804528377E-7     -8.410999485195537E-13
2.896422935013487E-7      0                        3.50419219107777E-7      -1.3702060171267958E-12
3.4047749805302105E-7     0                        3.5656526240082297E-7    -1.27838517755978E-12
3.045241240040004E-7      0                        4.0310754434880827E-7    -1.7233094546560277E-12
4.130537313008866E-7      3.0E-8                   2.1875778412255083E-7    -1.627607870730833E-13
3.8118551336593985E-7     3.0E-8                   1.739649935508618E-7     8.37100164348218E-14
4.2747287173978993E-7     3.0000000000000004E-8    1.7917116228675603E-7    1.5479965725281398E-13
3.493172954309932E-7      3.0000000000000004E-8    1.2917220297917282E-7    3.308851539831003E-13
3.956046538048432E-7      3.0000000000000004E-8    1.34378371715067E-7      4.0860268833685387E-13
3.1744907749604654E-7     3.0000000000000004E-8    8.437941240748381E-8     5.787646255717523E-13
3.637364358698965E-7      3.0000000000000004E-8    8.958558114337802E-8     6.631100534612671E-13
3.3186821793494984E-7     3.0000000000000004E-8    4.479279057168901E-8     9.183217526260542E-13
3.667663729270365E-7      3.0E-8                   2.135516153866566E-7     -2.356094962746904E-13
3.3489815499208987E-7     3.0000000000000004E-8    1.6875882481496762E-7    4.23341369745331E-15
3.0302993705714314E-7     3.0000000000000004E-8    1.239660342432786E-7     2.447806577099705E-13
